ClutserID	Streptococcus_pneumoniae_CGSP14	Streptococcus_pneumoniae_G54	Streptococcus_pneumoniae_R6	Streptococcus_pneumoniae_Hungary19A-6	Streptococcus_pneumoniae_P1031	Streptococcus_pneumoniae_TCH8431-19A
728	ACB90914.1	ACF56161.1	AAL00337.1	ACA36193.1	ACO21090.1	ADI70160.1
729	ACB89527.1	ACF55115.1	AAK99048.1	ACA36979.1	ACO21553.1	ADI68809.1
730	ACB90410.1	ACF55318.1	AAK99834.1	ACA36230.1	ACO21308.1	ADI69586.1
731	ACB90738.1	ACF54805.1	AAL00158.1	ACA36087.1	ACO21535.1	ADI69963.1
732	ACB90955.1	ACF55320.1	AAL00378.1	ACA36157.1	ACO20823.1	ADI70202.1
733	ACB89482.1	ACF55162.1	AAK99005.1	ACA35907.1	ACO20800.1	ADI68761.1
734	ACB90809.1	ACF56222.1	AAL00234.1	ACA35915.1	ACO20286.1	ADI70036.1
735	ACB90492.1	ACF56178.1	AAK99957.1	ACA37373.1	ACO21829.1	ADI69453.1
736	ACB90690.1	ACF55093.1	AAL00109.1	ACA37543.1	ACO20481.1	ADI69321.1
737	ACB90261.1	ACF56334.1	AAK99738.1	ACA36345.1	ACO20358.1	ADI69675.1
738	ACB90828.1	ACF56208.1	AAL00253.1	ACA36626.1	ACO21993.1	ADI70059.1
739	ACB89621.1	ACF56209.1	AAK99137.1	ACA37190.1	ACO20294.1	ADI68898.1
740	ACB91440.1	ACF55925.1	AAL00829.1	ACA36796.1	ACO20390.1	ADI68464.1
741	ACB91263.1	ACF56004.1	AAL00658.1	ACA37536.1	ACO21375.1	ADI68269.1
742	ACB89762.1	ACF55006.1	AAK99276.1	ACA36809.1	ACO21447.1	ADI69067.1
743	ACB91256.1	ACF55633.1	AAL00652.1	ACA35872.1	ACO21210.1	ADI68262.1
744	ACB89598.1	ACF56321.1	AAK99118.1	ACA36147.1	ACO20155.1	ADI68874.1
745	ACB90351.1	ACF55631.1	AAK99886.1	ACA37549.1	ACO22148.1	ADI69526.1
746	ACB90346.1	ACF55335.1	AAK99891.1	ACA37386.1	ACO20992.1	ADI69521.1
747	ACB90629.1	ACF56568.1	AAL00050.1	ACA36048.1	ACO22016.1	ADI69386.1
748	ACB90839.1	ACF56028.1	AAL00263.1	ACA36573.1	ACO20665.1	ADI70070.1
749	ACB91303.1	ACF55807.1	AAL00698.1	ACA36750.1	ACO21705.1	ADI68310.1
750	ACB89513.1	ACF55914.1	AAK99035.1	ACA37275.1	ACO20430.1	ADI68794.1
751	ACB89617.1	ACF55591.1	AAK99133.1	ACA37407.1	ACO20315.1	ADI68894.1
752	ACB89401.1	ACF55849.1	AAK98947.1	ACA37329.1	ACO22081.1	ADI68682.1
753	ACB89381.1	ACF55565.1	AAK98932.1	ACA37532.1	ACO20444.1	ADI68662.1
754	ACB90334.1	ACF55945.1	AAK99902.1	ACA37043.1	ACO22159.1	ADI69511.1
755	ACB90069.1	ACF54891.1	AAK99580.1	ACA36192.1	ACO21867.1	ADI69848.1
756	ACB89725.1	ACF54902.1	AAK99242.1	ACA36890.1	ACO21243.1	ADI69019.1
757	ACB90317.1	ACF56531.1	AAK99920.1	ACA36374.1	ACO20266.1	ADI69491.1
758	ACB89985.1	ACF55092.1	AAK99496.1	ACA36563.1	ACO22090.1	ADI69937.1
759	ACB91327.1	ACF56472.1	AAL00723.1	ACA37623.1	ACO21809.1	ADI68337.1
760	ACB90438.1	ACF54842.1	AAK99804.1	ACA35511.1	ACO21827.1	ADI69618.1
761	ACB90241.1	ACF55547.1	AAK99719.1	ACA35660.1	ACO20389.1	ADI69694.1
762	ACB89510.1	ACF55298.1	AAK99032.1	ACA35904.1	ACO22023.1	ADI68791.1
763	ACB91032.1	ACF56428.1	AAL00427.1	ACA36153.1	ACO20480.1	ADI70258.1
764	ACB90973.1	ACF56246.1	AAL00395.1	ACA37513.1	ACO22095.1	ADI70218.1
765	ACB90614.1	ACF56187.1	AAL00034.1	ACA37070.1	ACO20188.1	ADI69404.1
766	ACB90816.1	ACF55529.1	AAL00240.1	ACA37050.1	ACO22138.1	ADI70042.1
767	ACB91010.1	ACF56584.1	AAL00409.1	ACA35537.1	ACO21590.1	ADI70236.1
768	ACB91019.1	ACF56168.1	AAL00415.1	ACA36638.1	ACO22083.1	ADI70245.1
769	ACB89260.1	ACF56207.1	AAK98812.1	ACA36470.1	ACO21562.1	ADI68524.1
770	ACB91458.1	ACF55136.1	AAL00848.1	ACA36741.1	ACO21854.1	ADI68482.1
771	ACB90001.1	ACF56768.1	AAK99514.1	ACA35794.1	ACO21213.1	ADI69919.1
772	ACB90419.1	ACF55815.1	AAK99825.1	ACA35887.1	ACO21092.1	ADI69595.1
773	ACB89807.1	ACF55422.1	AAK99322.1	ACA37048.1	ACO21610.1	ADI69111.1
774	ACB89368.1	ACF55427.1	AAK98919.1	ACA35631.1	ACO20360.1	ADI68643.1
775	ACB89714.1	ACF54763.1	AAK99232.1	ACA35752.1	ACO22189.1	ADI69007.1
776	ACB89575.1	ACF55443.1	AAK99091.1	ACA35932.1	ACO21300.1	ADI68848.1
777	ACB91432.1	ACF56241.1	AAL00821.1	ACA35741.1	ACO20295.1	ADI68456.1
778	ACB89584.1	ACF56675.1	AAK99100.1	ACA35992.1	ACO21174.1	ADI68857.1
779	ACB89680.1	ACF54936.1	AAK99195.1	ACA36022.1	ACO20397.1	ADI68953.1
780	ACB91369.1	ACF55592.1	AAL00756.1	ACA36463.1	ACO21591.1	ADI68376.1
781	ACB90888.1	ACF55722.1	AAL00312.1	ACA37102.1	ACO21647.1	ADI70134.1
782	ACB90294.1	ACF55416.2	AAK99942.1	ACA36067.1	ACO21025.1	ADI69468.1
783	ACB90599.1	ACF56414.1	AAL00020.1	ACA35901.1	ACO21793.1	ADI69420.1
784	ACB90465.1	ACF55078.1	AAK99777.1	ACA37397.1	ACO20436.1	ADI69647.1
785	ACB90382.1	ACF55521.1	AAK99857.1	ACA36873.1	ACO21914.1	ADI69556.1
786	ACB89572.1	ACF55749.1	AAK99088.1	ACA36590.1	ACO22216.1	ADI68842.1
787	ACB90741.1	ACF55684.1	AAL00161.1	ACA35495.1	ACO21315.1	ADI69966.1
788	ACB91090.1	ACF56631.1	AAL00484.1	ACA35580.1	ACO21945.1	ADI70316.1
789	ACB90743.1	ACF55059.1	AAL00163.1	ACA36976.1	ACO20667.1	ADI69968.1
790	ACB89620.1	ACF55008.1	AAK99136.1	ACA36132.1	ACO22085.1	ADI68897.1
791	ACB90843.1	ACF54881.1	AAL00266.1	ACA37427.1	ACO20568.1	ADI70074.1
792	ACB90336.1	ACF55233.1	AAK99900.1	ACA37223.1	ACO20204.1	ADI69513.1
793	ACB89515.1	ACF55986.1	AAK99037.1	ACA36393.1	ACO21625.1	ADI68796.1
794	ACB90380.1	ACF55476.1	AAK99859.1	ACA36187.1	ACO21383.1	ADI69554.1
795	ACB89320.1	ACF56523.1	AAK98870.1	ACA36044.1	ACO20452.1	ADI68583.1
796	ACB89957.1	ACF55623.1	AAK99469.1	ACA35545.1	ACO22089.1	ADI69266.1
797	ACB89750.1	ACF55252.1	AAK99267.1	ACA37008.1	ACO21744.1	ADI69048.1
798	ACB89634.1	ACF56826.1	AAK99148.1	ACA36981.1	ACO20806.1	ADI68913.1
799	ACB91343.1	ACF55847.1	AAL00735.1	ACA37020.1	ACO20684.1	ADI68352.1
800	ACB89843.1	ACF56750.1	AAK99359.1	ACA37203.1	ACO21152.1	ADI69148.1
801	ACB91235.1	ACF55736.1	AAL00632.1	ACA37444.1	ACO21739.1	ADI68240.1
802	ACB89776.1	ACF54883.1	AAK99290.1	ACA35699.1	ACO21332.1	ADI69083.1
803	ACB89770.1	ACF56697.1	AAK99284.1	ACA36853.1	ACO20371.1	ADI69075.1
804	ACB91374.1	ACF55745.1	AAL00762.1	ACA36287.1	ACO21642.1	ADI68382.1
805	ACB90836.1	ACF55698.1	AAL00261.1	ACA37284.1	ACO21477.1	ADI70068.1
806	ACB89324.1	ACF55585.1	AAK98872.1	ACA37510.1	ACO20283.1	ADI68588.1
807	ACB90207.1	ACF56487.1	AAK99687.1	ACA37504.1	ACO21598.1	ADI69737.1
808	ACB91125.1	ACF55958.1	AAL00517.1	ACA36673.1	ACO21634.1	ADI70357.1
809	ACB90482.1	ACF56253.1	AAK99947.1	ACA37609.1	ACO21565.1	ADI69463.1
810	ACB90314.1	ACF56218.1	AAK99923.1	ACA37529.1	ACO21101.1	ADI69488.1
811	ACB90441.1	ACF55484.1	AAK99801.1	ACA35839.1	ACO21928.1	ADI69621.1
812	ACB91163.1	ACF55997.1	AAL00556.1	ACA35775.1	ACO22182.1	ADI70408.1
813	ACB89309.1	ACF55020.1	AAK98859.1	ACA35785.1	ACO20462.1	ADI68572.1
814	ACB89713.1	ACF56827.1	AAK99231.1	ACA37461.1	ACO22044.1	ADI69006.1
815	ACB90653.1	ACF55224.1	AAL00074.1	ACA35690.1	ACO20314.1	ADI69362.1
816	ACB89822.1	ACF55896.1	AAK99338.1	ACA37137.1	ACO20498.1	ADI69127.1
817	ACB89994.1	ACF55070.1	AAK99505.1	ACA36498.1	ACO21849.1	ADI69927.1
818	ACB89773.1	ACF55615.1	AAK99287.1	ACA36118.1	ACO21067.1	ADI69078.1
819	ACB90791.1	ACF55192.1	AAL00215.1	ACA35871.1	ACO20457.1	ADI70018.1
820	ACB90422.1	ACF56361.1	AAK99822.1	ACA37277.1	ACO20712.1	ADI69598.1
821	ACB91143.1	ACF55236.1	AAL00535.1	ACA36209.1	ACO22038.1	ADI70380.1
822	ACB90880.1	ACF54800.1	AAL00303.1	ACA36744.1	ACO21602.1	ADI70126.1
823	ACB91229.1	ACF56526.1	AAL00627.1	ACA36624.1	ACO22190.1	ADI68235.1
824	ACB89554.1	ACF56622.1	AAK99070.1	ACA36978.1	ACO22020.1	ADI68833.1
825	ACB91448.1	ACF55961.1	AAL00837.1	ACA36091.1	ACO22111.1	ADI68472.1
826	ACB90006.1	ACF56063.1	AAK99518.1	ACA36285.1	ACO21589.1	ADI69915.1
827	ACB89405.1	ACF56792.1	AAK98951.1	ACA36672.1	ACO21239.1	ADI68688.1
828	ACB90968.1	ACF55700.1	AAL00390.1	ACA36694.1	ACO21501.1	ADI70213.1
829	ACB89857.1	ACF54844.1	AAK99371.1	ACA35585.1	ACO21551.1	ADI69169.1
830	ACB91088.1	ACF56092.1	AAL00482.1	ACA36811.1	ACO20411.1	ADI70313.1
831	ACB89273.1	ACF55619.1	AAK98827.1	ACA36223.1	ACO20839.1	ADI68538.1
832	ACB90512.1	ACF55928.1	AAK99974.1	ACA36510.1	ACO21949.1	ADI69435.1
833	ACB89524.1	ACF54884.1	AAK99045.1	ACA36613.1	ACO21690.1	ADI68806.1
834	ACB91453.1	ACF55408.1	AAL00843.1	ACA36585.1	ACO21248.1	ADI68477.1
835	ACB90935.1	ACF55967.1	AAL00359.1	ACA36379.1	ACO20739.1	ADI70181.1
836	ACB91365.1	ACF55116.1	AAL00753.1	ACA37184.1	ACO20830.1	ADI68373.1
837	ACB91408.1	ACF54882.1	AAL00795.1	ACA36086.1	ACO21007.1	ADI68423.1
838	ACB91439.1	ACF56235.1	AAL00828.1	ACA37429.1	ACO21774.1	ADI68463.1
839	ACB91226.1	ACF55580.1	AAL00624.1	ACA36691.1	ACO20768.1	ADI68232.1
840	ACB89347.1	ACF54989.1	AAK98893.1	ACA37186.1	ACO21473.1	ADI68617.1
841	ACB89803.1	ACF55710.1	AAK99318.1	ACA36765.1	ACO21448.1	ADI69106.1
842	ACB90927.1	ACF56613.1	AAL00349.1	ACA35691.1	ACO21732.1	ADI70173.1
843	ACB89851.1	ACF56354.1	AAK99365.1	ACA36336.1	ACO20330.1	ADI69161.1
844	ACB89722.1	ACF55733.1	AAK99239.1	ACA36923.1	ACO20269.1	ADI69015.1
845	ACB90076.1	ACF56349.1	AAK99582.1	ACA36902.1	ACO21558.1	ADI69846.1
846	ACB90029.1	ACF56133.1	AAK99541.1	ACA36989.1	ACO20194.1	ADI69886.1
847	ACB89881.1	ACF55439.1	AAK99393.1	ACA36932.1	ACO20161.1	ADI69192.1
848	ACB91018.1	ACF55984.1	AAL00414.1	ACA37074.1	ACO21915.1	ADI70244.1
849	ACB91355.1	ACF55933.1	AAL00745.1	ACA35600.1	ACO21597.1	ADI68364.1
850	ACB90742.1	ACF55040.1	AAL00162.1	ACA37638.1	ACO21777.1	ADI69967.1
851	ACB90962.1	ACF55996.1	AAL00384.1	ACA36286.1	ACO21071.1	ADI70208.1
852	ACB89489.1	ACF55556.1	AAK99012.1	ACA36948.1	ACO21109.1	ADI68768.1
853	ACB90755.1	ACF55105.1	AAL00174.1	ACA35497.1	ACO21563.1	ADI69980.1
854	ACB89905.1	ACF56433.1	AAK99417.1	ACA36671.1	ACO21097.1	ADI69209.1
855	ACB91183.1	ACF56747.1	AAL00584.1	ACA36135.1	ACO21608.1	ADI70462.1
856	ACB91184.1	ACF55538.1	AAL00585.1	ACA37071.1	ACO21182.1	ADI70464.1
857	ACB89987.1	ACF56002.1	AAK99498.1	ACA35869.1	ACO20341.1	ADI69935.1
858	ACB89768.1	ACF56743.1	AAK99282.1	ACA37209.1	ACO21329.1	ADI69073.1
859	ACB91337.1	ACF56170.1	AAL00731.1	ACA35860.1	ACO21887.1	ADI68347.1
860	ACB90277.1	ACF56183.1	AAK99751.1	ACA36121.1	ACO21983.1	ADI69657.1
861	ACB89710.1	ACF55181.1	AAK99221.1	ACA35588.1	ACO21414.1	ADI68996.1
862	ACB90052.1	ACF54935.1	AAK99562.1	ACA37323.1	ACO21349.1	ADI69863.1
863	ACB91245.1	ACF55756.1	AAL00642.1	ACA36588.1	ACO21277.1	ADI68251.1
864	ACB89448.1	ACF56084.1	AAK98971.1	ACA37375.1	ACO21183.1	ADI68709.1
865	ACB91031.1	ACF56542.1	AAL00426.1	ACA36368.1	ACO20993.1	ADI70257.1
866	ACB90307.1	ACF56212.1	AAK99930.1	ACA36658.1	ACO20348.1	ADI69481.1
867	ACB91107.1	ACF56458.1	AAL00500.1	ACA35638.1	ACO20471.1	ADI70335.1
868	ACB91249.1	ACF55974.1	AAL00646.1	ACA36912.1	ACO20613.1	ADI68255.1
869	ACB89897.1	ACF55109.1	AAK99409.1	ACA37292.1	ACO20668.1	ADI69208.1
870	ACB90026.1	ACF55793.1	AAK99538.1	ACA36316.1	ACO21498.1	ADI69890.1
871	ACB89308.1	ACF55777.1	AAK98858.1	ACA35723.1	ACO20801.1	ADI68571.1
872	ACB90736.1	ACF54783.1	AAL00156.1	ACA37293.1	ACO21542.1	ADI69961.1
873	ACB91334.1	ACF56459.1	AAL00728.1	ACA37162.1	ACO21785.1	ADI68344.1
874	ACB91082.1	ACF56767.1	AAL00474.1	ACA37116.1	ACO20688.1	ADI70307.1
875	ACB90496.1	ACF56448.1	AAK99961.1	ACA35621.1	ACO21434.1	ADI69449.1
876	ACB90516.1	ACF55508.1	AAK99978.1	ACA36243.1	ACO22054.1	ADI69431.1
877	ACB91433.1	ACF56727.1	AAL00822.1	ACA37191.1	ACO20497.1	ADI68457.1
878	ACB89952.1	ACF55977.1	AAK99464.1	ACA35899.1	ACO20719.1	ADI69261.1
879	ACB89907.1	ACF55853.1	AAK99420.1	ACA35613.1	ACO20368.1	ADI69212.1
880	ACB91241.1	ACF55990.1	AAL00638.1	ACA35584.1	ACO21222.1	ADI68246.1
881	ACB89867.1	ACF55750.1	AAK99380.1	ACA37620.1	ACO21432.1	ADI69179.1
882	ACB90037.1	ACF55436.1	AAK99549.1	ACA35906.1	ACO21981.1	ADI69877.1
883	ACB90908.1	ACF56738.1	AAL00331.1	ACA35658.1	ACO21546.1	ADI70154.1
884	ACB89304.1	ACF55031.1	AAK98855.1	ACA35789.1	ACO20149.1	ADI68567.1
885	ACB89884.1	ACF56785.1	AAK99396.1	ACA37159.1	ACO20995.1	ADI69195.1
886	ACB90202.1	ACF55844.1	AAK99682.1	ACA37132.1	ACO22106.1	ADI69742.1
887	ACB90929.1	ACF55191.1	AAL00351.1	ACA36238.1	ACO20178.1	ADI70175.1
888	ACB89354.1	ACF55201.1	AAK98899.1	ACA37509.1	ACO20549.1	ADI68623.1
889	ACB90352.1	ACF56658.1	AAK99885.1	ACA37042.1	ACO20233.1	ADI69527.1
890	ACB89660.1	ACF55199.1	AAK99174.1	ACA36598.1	ACO22175.1	ADI68928.1
891	ACB90818.1	ACF55292.1	AAL00242.1	ACA37011.1	ACO21228.1	ADI70046.1
892	ACB90197.1	ACF55716.1	AAK99675.1	ACA37408.1	ACO21089.1	ADI69747.1
893	ACB89781.1	ACF56656.1	AAK99294.1	ACA35987.1	ACO21651.1	ADI69087.1
894	ACB89779.1	ACF55877.1	AAK99293.1	ACA36433.1	ACO20590.1	ADI69086.1
895	ACB90335.1	ACF56395.1	AAK99901.1	ACA36327.1	ACO20661.1	ADI69512.1
896	ACB90139.1	ACF55545.1	AAK99614.1	ACA37273.1	ACO21081.1	ADI69807.1
897	ACB90642.1	ACF55854.1	AAL00063.1	ACA37009.1	ACO20465.1	ADI69373.1
898	ACB91345.1	ACF55650.1	AAL00736.1	ACA37035.1	ACO20773.1	ADI68354.1
899	ACB89975.1	ACF56701.1	AAK99486.1	ACA35735.1	ACO21740.1	ADI69284.1
900	ACB90293.1	ACF56664.1	AAK99943.1	ACA36503.1	ACO21057.1	ADI69467.1
901	ACB90615.1	ACF55992.1	AAL00035.1	ACA36708.1	ACO21585.1	ADI69403.1
902	ACB90977.1	ACF56137.1	AAL00399.1	ACA37238.1	ACO21990.1	ADI70222.1
903	ACB90329.1	ACF55780.1	AAK99908.1	ACA36011.1	ACO20972.1	ADI69505.1
904	ACB90806.1	ACF55845.1	AAL00231.1	ACA37278.1	ACO21086.1	ADI70033.1
905	ACB91212.1	ACF54779.1	AAL00611.1	ACA37148.1	ACO20591.1	ADI70491.1
906	ACB91182.1	ACF56291.1	AAL00582.1	ACA37354.1	ACO20164.1	ADI70460.1
907	ACB90018.1	ACF56035.1	AAK99533.1	ACA37556.1	ACO21702.1	ADI69895.1
908	ACB90081.1	ACF54950.1	AAK99586.1	ACA36043.1	ACO20695.1	ADI69841.1
909	ACB90453.1	ACF55913.1	AAK99788.1	ACA37029.1	ACO21191.1	ADI69635.1
910	ACB90070.1	ACF56777.1	AAK99581.1	ACA37098.1	ACO21406.1	ADI69847.1
911	ACB89723.1	ACF56860.1	AAK99240.1	ACA36426.1	ACO21076.1	ADI69016.1
912	ACB91066.1	ACF56500.1	AAL00459.1	ACA36990.1	ACO20357.1	ADI70289.1
913	ACB89346.1	ACF56418.1	AAK98892.1	ACA36875.1	ACO20190.1	ADI68616.1
914	ACB90804.1	ACF55160.1	AAL00229.1	ACA36310.1	ACO22202.1	ADI70031.1
915	ACB90659.1	ACF56514.1	AAL00080.1	ACA36829.1	ACO21751.1	ADI69353.1
916	ACB89718.1	ACF56660.1	AAK99235.1	ACA36591.1	ACO20516.1	ADI69011.1
917	ACB89954.1	ACF54774.1	AAK99466.1	ACA37558.1	ACO21831.1	ADI69263.1
918	ACB91202.1	ACF55709.1	AAL00603.1	ACA35765.1	ACO21423.1	ADI70483.1
919	ACB90148.1	ACF56403.1	AAK99624.1	ACA36299.1	ACO20445.1	ADI69794.1
920	ACB89446.1	ACF56652.1	AAK98970.1	ACA35769.1	ACO20673.1	ADI68708.1
921	ACB91103.1	ACF55250.1	AAL00496.1	ACA37547.1	ACO22010.1	ADI70331.1
922	ACB89545.1	ACF55647.1	AAK99063.1	ACA37041.1	ACO21968.1	ADI68825.1
923	ACB89715.1	ACF55776.1	AAK99233.1	ACA36532.1	ACO21407.1	ADI69008.1
924	ACB90255.1	ACF55114.1	AAK99733.1	ACA36608.1	ACO20522.1	ADI69681.1
925	ACB90080.1	ACF55462.1	AAK99587.1	ACA36538.1	ACO20309.1	ADI69840.1
926	ACB90298.1	ACF56816.1	AAK99938.1	ACA36347.1	ACO21273.1	ADI69472.1
927	ACB90211.1	ACF55429.1	AAK99692.1	ACA35939.1	ACO20871.1	ADI69731.1
928	ACB90721.1	ACF56397.1	AAL00139.1	ACA36375.1	ACO20210.1	ADI69291.1
929	ACB89407.1	ACF55758.1	AAK98953.1	ACA37046.1	ACO20453.1	ADI68690.1
930	ACB89310.1	ACF56439.1	AAK98860.1	ACA35642.1	ACO21743.1	ADI68573.1
931	ACB91396.1	ACF56686.1	AAL00784.1	ACA36494.1	ACO21603.1	ADI68408.1
932	ACB90008.1	ACF56782.1	AAK99520.1	ACA36994.1	ACO21574.1	ADI69913.1
933	ACB89360.1	ACF55332.1	AAK98905.1	ACA37535.1	ACO21792.1	ADI68629.1
934	ACB90216.1	ACF55724.1	AAK99697.1	ACA36301.1	ACO21661.1	ADI69726.1
935	ACB90405.1	ACF56627.1	AAK99838.1	ACA35819.1	ACO21143.1	ADI69581.1
936	ACB89690.1	ACF56127.1	AAK99204.1	ACA35737.1	ACO20715.1	ADI68964.1
937	ACB90062.1	ACF55975.1	AAK99573.1	ACA37081.1	ACO20508.1	ADI69855.1
938	ACB90745.1	ACF55630.1	AAL00165.1	ACA37480.1	ACO20353.1	ADI69970.1
939	ACB90324.1	ACF55021.1	AAK99913.1	ACA36999.1	ACO20970.1	ADI69498.1
940	ACB91196.1	ACF56345.1	AAL00597.1	ACA36936.1	ACO20466.1	ADI70476.1
941	ACB91109.1	ACF56455.1	AAL00502.1	ACA36339.1	ACO21697.1	ADI70337.1
942	ACB91291.1	ACF56067.1	AAL00686.1	ACA36444.1	ACO20296.1	ADI68298.1
943	ACB91387.1	ACF54786.1	AAL00775.1	ACA35531.1	ACO20635.1	ADI68398.1
944	ACB89999.1	ACF56723.1	AAK99511.1	ACA36980.1	ACO21701.1	ADI69922.1
945	ACB90498.1	ACF56236.1	AAK99965.1	ACA37295.1	ACO21521.1	ADI69445.1
946	ACB90215.1	ACF55065.1	AAK99696.1	ACA36332.1	ACO20774.1	ADI69727.1
947	ACB89561.1	ACF55455.1	AAK99076.1	ACA37290.1	ACO20275.1	ADI68839.1
948	ACB89534.1	ACF55881.1	AAK99052.1	ACA35626.1	ACO20924.1	ADI68814.1
949	ACB90504.1	ACF55891.1	AAK99972.1	ACA36367.1	ACO20914.1	ADI69438.1
950	ACB89720.1	ACF55878.1	AAK99237.1	ACA37469.1	ACO21681.1	ADI69013.1
951	ACB90514.1	ACF54976.1	AAK99976.1	ACA35547.1	ACO20747.1	ADI69433.1
952	ACB89312.1	ACF55491.1	AAK98862.1	ACA36617.1	ACO20560.1	ADI68575.1
953	ACB90232.1	ACF55586.1	AAK99714.1	ACA36715.1	ACO21723.1	ADI69706.1
954	ACB90964.1	ACF54791.1	AAL00386.1	ACA36950.1	ACO21234.1	ADI70210.1
955	ACB90160.1	ACF56080.1	AAK99638.1	ACA36541.1	ACO20765.1	ADI69780.1
956	ACB91095.1	ACF56386.1	AAL00488.1	ACA35672.1	ACO22097.1	ADI70322.1
957	ACB89580.1	ACF56786.1	AAK99096.1	ACA36615.1	ACO22103.1	ADI68853.1
958	ACB90634.1	ACF55310.1	AAL00054.1	ACA36102.1	ACO20285.1	ADI69382.1
959	ACB91390.1	ACF56289.1	AAL00778.1	ACA35558.1	ACO21649.1	ADI68402.1
960	ACB90397.1	ACF56108.1	AAK99844.1	ACA37039.1	ACO21794.1	ADI69573.1
961	ACB91207.1	ACF56171.1	AAL00607.1	ACA36530.1	ACO20280.1	ADI70487.1
962	ACB91133.1	ACF56332.1	AAL00525.1	ACA36891.1	ACO20952.1	ADI70369.1
963	ACB90456.1	ACF54812.1	AAK99786.1	ACA37145.1	ACO20895.1	ADI69638.1
964	ACB89854.1	ACF56522.1	AAK99368.1	ACA36898.1	ACO20574.1	ADI69164.1
965	ACB90901.1	ACF56121.1	AAL00326.1	ACA36515.1	ACO22001.1	ADI70147.1
966	ACB90922.1	ACF56812.1	AAL00344.1	ACA35943.1	ACO21570.1	ADI70168.1
967	ACB90688.1	ACF56696.1	AAL00107.1	ACA36405.1	ACO22024.1	ADI69323.1
968	ACB90242.1	ACF54855.1	AAK99720.1	ACA37151.1	ACO21494.1	ADI69693.1
969	ACB90218.1	ACF55719.1	AAK99699.1	ACA37531.1	ACO20523.1	ADI69724.1
970	ACB90443.1	ACF55659.1	AAK99799.1	ACA35877.1	ACO20817.1	ADI69623.1
971	ACB89959.1	ACF55211.1	AAK99471.1	ACA36421.1	ACO20329.1	ADI69268.1
972	ACB91099.1	ACF56234.1	AAL00492.1	ACA36583.1	ACO21842.1	ADI70327.1
973	ACB90371.1	ACF56407.1	AAK99868.1	ACA37178.1	ACO20470.1	ADI69547.1
974	ACB90495.1	ACF56760.1	AAK99960.1	ACA35844.1	ACO21873.1	ADI69450.1
975	ACB91350.1	ACF56016.1	AAL00740.1	ACA35671.1	ACO20822.1	ADI68359.1
976	ACB91353.1	ACF55472.1	AAL00743.1	ACA36807.1	ACO22166.1	ADI68362.1
977	ACB89945.1	ACF55622.1	AAK99457.1	ACA36264.1	ACO21627.1	ADI69255.1
978	ACB91449.1	ACF55214.1	AAL00838.1	ACA37396.1	ACO20319.1	ADI68473.1
979	ACB91074.1	ACF55802.1	AAL00466.1	ACA37541.1	ACO21848.1	ADI70299.1
980	ACB89484.1	ACF55305.1	AAK99007.1	ACA36033.1	ACO21294.1	ADI68763.1
981	ACB91236.1	ACF55295.1	AAL00633.1	ACA37508.1	ACO20640.1	ADI68241.1
982	ACB90837.1	ACF56405.1	AAL00262.1	ACA37507.1	ACO20214.1	ADI70069.1
983	ACB91255.1	ACF56227.1	AAL00651.1	ACA36342.1	ACO20749.1	ADI68261.1
984	ACB91168.1	ACF55784.1	AAL00562.1	ACA36085.1	ACO21363.1	ADI70413.1
985	ACB90965.1	ACF56870.1	AAL00387.1	ACA37436.1	ACO21892.1	ADI70211.1
986	ACB90861.1	ACF55686.1	AAL00279.1	ACA36688.1	ACO20922.1	ADI70102.1
987	ACB90722.1	ACF56390.1	AAL00140.1	ACA35606.1	ACO20764.1	ADI69290.1
988	ACB89812.1	ACF55428.1	AAK99328.1	ACA36418.1	ACO20746.1	ADI69117.1
989	ACB90876.1	ACF55029.1	AAL00299.1	ACA37624.1	ACO21428.1	ADI70122.1
990	ACB90655.1	ACF56188.1	AAL00076.1	ACA37234.1	ACO21253.1	ADI69360.1
991	ACB89591.1	ACF56039.1	AAK99108.1	ACA37085.1	ACO21626.1	ADI68866.1
992	ACB90459.1	ACF56051.1	AAK99783.1	ACA36748.1	ACO21157.1	ADI69641.1
993	ACB89253.1	ACF56248.1	AAK98805.1	ACA35587.1	ACO21605.1	ADI68483.1
994	ACB90606.1	ACF55330.1	AAL00027.1	ACA35583.1	ACO21974.1	ADI69412.1
995	ACB89544.1	ACF56245.1	AAK99062.1	ACA37539.1	ACO21384.1	ADI68824.1
996	ACB89825.1	ACF55666.1	AAK99342.1	ACA36329.1	ACO21328.1	ADI69130.1
997	ACB89376.1	ACF56309.1	AAK98929.1	ACA36647.1	ACO20256.1	ADI68658.1
998	ACB89317.1	ACF56000.1	AAK98867.1	ACA36594.1	ACO20604.1	ADI68580.1
999	ACB91293.1	ACF55637.1	AAL00688.1	ACA35969.1	ACO20771.1	ADI68300.1
1000	ACB90726.1	ACF54925.1	AAL00147.1	ACA35953.1	ACO21124.1	ADI69948.1
1001	ACB89259.1	ACF54885.1	AAK98811.1	ACA37240.1	ACO20271.1	ADI68523.1
1002	ACB89573.1	ACF55430.1	AAK99089.1	ACA36113.1	ACO21745.1	ADI68843.1
1003	ACB90015.1	ACF55691.1	AAK99530.1	ACA35913.1	ACO20551.1	ADI69898.1
1004	ACB90210.1	ACF55217.1	AAK99691.1	ACA37192.1	ACO21358.1	ADI69732.1
